Log start on, 2023-11-02 16:35:23
Feature, Acceleration
NodeName, HostTimestamp (ms), notificationTime, timeStamp, RawData, X (mg), Y (mg), Z (mg)
AM1V430 @A856F0, 14314, Thu Nov 02 16:35:37 GMT+01:00 2023, 11767, [-9 45 30 -1 -94 -1 -39 -4 -59 -1 -41 12 -44 -2 77 2 72 0 -9 -1], -226.0, -94.0, -807.0
AM1V430 @A856F0, 14369, Thu Nov 02 16:35:37 GMT+01:00 2023, 11773, [-3 45 61 0 -115 -1 -104 -5 -102 0 -44 11 -53 -3 -74 1 61 0 90 0], 61.0, -115.0, -1128.0
AM1V430 @A856F0, 14412, Thu Nov 02 16:35:37 GMT+01:00 2023, 11780, [4 46 110 1 -102 -1 75 -4 72 0 -106 8 -23 -3 53 1 46 0 124 0], 366.0, -102.0, -949.0
AM1V430 @A856F0, 14460, Thu Nov 02 16:35:37 GMT+01:00 2023, 11786, [10 46 2 2 115 -1 -71 -4 72 0 -94 6 25 -3 -25 0 48 0 -123 0], 514.0, -141.0, -839.0
AM1V430 @A856F0, 14507, Thu Nov 02 16:35:37 GMT+01:00 2023, 11792, [16 46 -34 1 105 -1 -113 -5 -111 1 -55 4 -113 -3 -109 0 40 0 127 0], 478.0, -151.0, -1137.0
AM1V430 @A856F0, 14563, Thu Nov 02 16:35:37 GMT+01:00 2023, 11798, [22 46 -58 1 -125 -1 -37 -4 28 1 -3 2 -95 -2 114 0 27 0 123 0], 454.0, -125.0, -805.0
AM1V430 @A856F0, 14620, Thu Nov 02 16:35:37 GMT+01:00 2023, 11805, [29 46 25 2 -95 -1 20 -3 126 1 5 2 29 -2 79 0 16 0 115 0], 537.0, -95.0, -748.0
AM1V430 @A856F0, 14665, Thu Nov 02 16:35:37 GMT+01:00 2023, 11811, [35 46 -93 1 -114 -1 -27 -4 112 0 63 -1 -118 -2 57 0 15 0 117 0], 419.0, -114.0, -795.0
AM1V430 @A856F0, 14720, Thu Nov 02 16:35:38 GMT+01:00 2023, 11817, [41 46 96 2 -70 -1 -62 -4 -56 0 -58 -1 18 0 70 0 12 0 111 0], 608.0, -70.0, -830.0
AM1V430 @A856F0, 14759, Thu Nov 02 16:35:38 GMT+01:00 2023, 11823, [47 46 7 2 -108 -1 20 -3 103 0 -107 -1 -63 -1 73 0 4 0 115 0], 519.0, -108.0, -748.0
